RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
1.0,0.0,0.2202105535137565,999999.9999999999,0.9402492257749665,0.9812158669948139,0.9905271196736836,0.9941805141880372,0.9812158669948139
2.0,2.0,0.6587477096371125,959999.9999999999,0.8316830792185851,0.9448527760489517,0.9719288552482878,0.9826920117134488,0.9448527760489517
3.0,4.0,1.0926585818057857,959999.9999999999,0.7366053530531821,0.9101998050947804,0.9538705103371361,0.9714553757402865,0.9101998050947804
4.0,6.000000000000001,1.516158769087675,959999.9999999999,0.6542998812593727,0.87760415735538,0.9365690255997635,0.9606122468682948,0.87760415735538
5.0,8.0,1.9274826888348047,959999.9999999999,0.5831742078182733,0.8470635106783607,0.920065450281951,0.950196745252757,0.8470635106783607
6.0,10.0,2.323005640858387,959999.9999999999,0.5220831720503611,0.8186988882375739,0.9044701921598963,0.9402878756844175,0.8186988882375739
7.0,12.000000000000002,2.7055451568553304,959999.9999999999,0.4690926779662459,0.7921692535806323,0.8896383794346413,0.9308025855797898,0.7921692535806323
8.0,14.0,3.066053114778622,949999.9999999999,0.4240866397472766,0.7679548724269775,0.8758834532789883,0.9219511746237051,0.7679548724269775
9.0,16.0,3.4066133220953767,949999.9999999999,0.38554431980390363,0.745760582006553,0.8630850181953661,0.9136668612480234,0.745760582006553
10.0,18.0,3.7245047342598427,929999.9999999999,0.35273490168951005,0.725622794024093,0.851307296810663,0.9060011644052055,0.725622794024093
11.0,20.0,4.016904177273343,929999.9999999999,0.32502741813730723,0.70758034076974,0.8406159964219007,0.8990069847420475,0.70758034076974
12.0,22.0,4.291239941738588,929999.9999999999,0.3010138074843766,0.6910606194221656,0.830707291231424,0.8924939887036355,0.6910606194221656
13.0,24.000000000000004,4.539747791516012,939999.9999999999,0.2807961157610202,0.6764293525700783,0.8218323207625309,0.8866349117007319,0.6764293525700783
14.0,26.0,4.765398607815707,939999.9999999999,0.2636167812887454,0.663412350380667,0.8138558078986863,0.8813480622628409,0.663412350380667
15.0,28.0,4.968976712390035,939999.9999999999,0.24902158231601695,0.6518837201610744,0.8067259918751079,0.8766054170116688,0.6518837201610744
16.0,29.999999999999996,5.151940742826033,929999.9999999999,0.23659505744552037,0.6416935053744585,0.8003714424066121,0.872364785583753,0.6416935053744585
17.0,32.0,5.316651641807831,929999.9999999999,0.22593953029007566,0.6326562213950061,0.7946936694592939,0.8685647637296101,0.6326562213950061
18.0,34.0,5.466833211014691,929999.9999999999,0.21664276176221733,0.6245271031804905,0.7895518514299488,0.8651143749131938,0.6245271031804905
19.0,36.0,5.6030601107499365,929999.9999999999,0.2085411328740483,0.6172437128714261,0.7849165852450876,0.8619964485313858,0.6172437128714261
20.0,38.0,5.747329332813666,929999.9999999999,0.2002912970585104,0.609622927955635,0.7800373367202088,0.8587067025540949,0.609622927955635
